,time,cls,src_cls,src_id,dst_cls,dst_id
74,2021-12-25 18:09:52,Post,Post,100001806227581,Post,2907554402800300
75,2022-02-25 07:16:00,Post,Post,100038603222452,Post,2950797705142636
76,2022-02-25 12:42:52,Post,Post,100037208057678,Post,2950952351793838
77,2022-02-25 09:59:15,Post,Post,100069750650036,Post,2950876748468065
78,2022-02-25 11:29:17,Post,Post,100004499856673,Post,2950919445130462
79,2022-02-24 15:07:24,Post,Post,100005016393872,Post,2950300638525676
80,2022-02-24 18:42:54,Post,Post,100078753123259,Post,2950412221847851
81,2022-02-25 13:02:25,Post,Post,100010772021602,Post,2950961511792922
82,2022-02-25 13:00:00,Post,Post,100006208176823,Post,2950960288459711
83,2022-02-25 12:54:14,Post,Post,100054565886270,Post,2950957578459982
84,2021-08-30 17:53:42,Post,Post,100001722954717,Post,2823085801247161
85,2022-02-25 11:03:15,Post,Post,100007463389018,Post,2950907648464975
86,2022-02-25 11:21:09,Post,Post,100053960342120,Post,2950915398464200
87,2022-02-25 12:10:10,Post,Post,100052058353019,Post,2950937525128654
88,2022-02-25 00:54:57,Post,Post,100058214192633,Post,2950635685158838
89,2022-02-22 19:20:59,Post,Post,100036386452293,Post,2948966781992395
90,2022-02-25 12:40:37,Post,Post,100070624562097,Post,2950950921793981
91,2022-02-24 02:41:24,Post,Post,100052830851350,Post,2949928345229572
92,2022-02-23 21:40:33,Post,Post,100001826779701,Post,2949769378578802
93,2022-02-22 12:59:36,Post,Post,100016722318077,Post,2948780798677660
94,2022-02-24 16:24:32,Post,Post,100046861874726,Post,2950337965188610
95,2022-02-20 22:57:52,Post,Post,100014231019004,Post,2947715498784190
96,2022-02-24 19:03:57,Post,Post,100024218735696,Post,2950423271846746
97,2022-02-24 20:18:49,Post,Post,100028258236428,Post,2950468948508845
98,2022-02-19 20:28:41,Post,Post,100045671741620,Post,2946946925527714
99,2022-02-21 20:35:52,Post,Post,100035727092449,Post,2948288088726931
100,2022-02-25 11:46:25,Post,Post,100046619646601,Post,2950927148463025
101,2022-02-25 07:52:02,Post,Post,100005561410256,Post,2950811268474613
102,2022-02-25 12:10:36,Post,Post,100047529462212,Post,2950937741795299
103,2022-02-24 20:23:53,Post,Post,100078504852524,Post,2950471768508563
104,2022-02-24 17:26:34,Post,Post,100009874871728,Post,2950369111852162
